Date,Open,High,Low,Close,Volume
8/26/2021 16:00:00,35449.68,35498.45,35205.1,35213.12,239931968
8/27/2021 16:00:00,35231.11,35479.18,35231.11,35455.8,242140527
8/30/2021 16:00:00,35471.8,35510.71,35374.46,35399.84,246807437
8/31/2021 16:00:00,35391.38,35449.79,35289.86,35360.73,337243745
9/1/2021 16:00:00,35387.55,35407.37,35287.05,35312.53,266572451
9/2/2021 16:00:00,35353.06,35475.4,35348.48,35443.82,265178175
9/3/2021 16:00:00,35401.73,35422.71,35269.4,35369.09,223386362
9/7/2021 16:00:00,35373.24,35373.24,35060.9,35100,290727780
9/8/2021 16:00:00,35087.45,35175.15,34925.61,35031.07,261876091
9/9/2021 16:00:00,35013.08,35199.89,34847.3,34879.38,262381663
9/10/2021 16:00:00,34949.59,35104.25,34599.61,34607.72,333225896
9/13/2021 16:00:00,34665.5,34939.1,34665.5,34869.63,342409113
9/14/2021 16:00:00,34906.9,34990.36,34510.3,34577.57,329178337
9/15/2021 16:00:00,34580.95,34880.77,34522.03,34814.39,324976371
9/16/2021 16:00:00,34810.27,34943.55,34540.11,34751.32,279309916
9/17/2021 16:00:00,34737.86,34779.86,34519.63,34584.88,577966305
9/20/2021 16:00:00,34459.72,34459.72,33613.03,33970.47,441645657
9/21/2021 16:00:00,34025.61,34313.88,33914.02,33919.84,307984825
9/22/2021 16:00:00,34006.87,34440.42,34006.87,34258.32,300082310
9/23/2021 16:00:00,34296.3,34879.78,34296.3,34764.82,285870887
9/24/2021 16:00:00,34762.31,34857.06,34648.08,34798,256578503
9/27/2021 16:00:00,34739.27,35061.12,34739.27,34869.37,292804237
9/28/2021 16:00:00,34747.7,34798.21,34254.65,34299.99,380220924
9/29/2021 16:00:00,34360.08,34580.42,34305.96,34390.72,291042252
9/30/2021 16:00:00,34467.98,34557.37,33833.32,33843.92,356201957
10/1/2021 16:00:00,33930.7,34490.56,33785.54,34326.46,429164278
10/4/2021 16:00:00,34312.96,34410.28,33821.58,34002.92,400191421
10/5/2021 16:00:00,34035.25,34490.95,34035.25,34314.67,312426834
10/6/2021 16:00:00,34198.96,34432.68,33854.69,34416.99,323370501
10/7/2021 16:00:00,34509.72,34975.19,34509.72,34754.94,277046776
10/8/2021 16:00:00,34757.57,34842.62,34661.95,34746.25,238081658
10/11/2021 16:00:00,34723.79,34951.35,34486.51,34496.06,256823777
10/12/2021 16:00:00,34507.15,34611.24,34318.94,34378.34,322026903
10/13/2021 16:00:00,34372.71,34449.83,34115.1,34377.81,319453748
10/14/2021 16:00:00,34443.22,34923.83,34443.22,34912.56,338537183
10/15/2021 16:00:00,35023.63,35320.97,35023.63,35294.76,327866355
10/18/2021 16:00:00,35221.02,35327.57,35035.94,35258.61,323088503
10/19/2021 16:00:00,35325.37,35462.68,35290.12,35457.31,281263666
10/20/2021 16:00:00,35475.16,35669.69,35465.71,35609.34,267325901
10/21/2021 16:00:00,35520.32,35612.36,35442.53,35603.08,302122046
10/22/2021 16:00:00,35607.72,35765.02,35533.95,35677.02,349082290
10/25/2021 16:00:00,35692.62,35787.04,35629.37,35741.15,270410173
10/26/2021 16:00:00,35791.05,35892.92,35734.73,35756.88,321910427
10/27/2021 16:00:00,35835.43,35835.43,35490.43,35490.69,358083242
10/28/2021 16:00:00,35545.41,35742.25,35545.41,35730.48,348425518
10/29/2021 16:00:00,35712.28,35852.53,35633.2,35819.56,407989659
11/1/2021 16:00:00,35833.65,36009.74,35797.97,35913.84,295482441
11/2/2021 16:00:00,35935.11,36088.81,35884.13,36052.63,304514482
11/3/2021 16:00:00,36059.09,36178.51,35891.73,36157.58,262540220
11/4/2021 16:00:00,36107.46,36168.03,35986.48,36124.23,309994153
11/5/2021 16:00:00,36268.75,36484.75,36190.2,36327.95,344602642
11/8/2021 16:00:00,36416.46,36565.73,36334.42,36432.22,288396073
11/9/2021 16:00:00,36404.53,36416.98,36173.07,36319.98,258023267
11/10/2021 16:00:00,36299.25,36346.61,36009.5,36079.94,283523181
11/11/2021 16:00:00,36038.78,36108.17,35915.27,35921.23,270315654
11/12/2021 16:00:00,35963.78,36147.63,35934.59,36100.31,293177797
11/15/2021 16:00:00,36128.83,36236.07,36031.78,36087.45,280655990
11/16/2021 16:00:00,36076.18,36316.61,36076.18,36142.22,311904341
11/17/2021 16:00:00,36159.7,36159.7,35909.48,35931.05,358310249
11/18/2021 16:00:00,35901.69,35952.63,35654.39,35870.95,435080049
11/19/2021 16:00:00,35879.09,35879.09,35555.37,35601.98,414653520
11/22/2021 16:00:00,35631.41,35929.66,35615.55,35619.25,420805312
11/23/2021 16:00:00,35619.92,35841.52,35542.87,35813.8,392524120
11/24/2021 16:00:00,35752.31,35825.47,35591.03,35804.38,287941274
11/26/2021 13:00:00,35366.69,35366.69,34749.8,34899.34,325393641
11/29/2021 16:00:00,35017.71,35287.91,34895.89,35135.94,416044303
11/30/2021 16:00:00,35056.99,35056.99,34424.44,34483.72,678797563
12/1/2021 16:00:00,34678.94,35004.64,34006.98,34022.04,498376683
12/2/2021 16:00:00,34076.25,34759.65,34076.25,34639.79,470580624
12/3/2021 16:00:00,34692.78,34801.31,34264.57,34580.08,444848392
12/6/2021 16:00:00,34633.43,35356.75,34633.43,35227.03,418749151
12/7/2021 16:00:00,35423.99,35819.47,35423.99,35719.43,482893430
12/8/2021 16:00:00,35716.85,35840.52,35602.65,35754.75,387651112
12/9/2021 16:00:00,35722.26,35864.24,35577.14,35754.69,353020799
12/10/2021 16:00:00,35830.55,35982.69,35710.43,35970.99,361198734
12/13/2021 16:00:00,35958.93,35958.93,35609.53,35650.95,451585946
12/14/2021 16:00:00,35605.73,35779.47,35441.74,35544.18,451234698
12/15/2021 16:00:00,35549.35,35943.84,35389.3,35927.43,432378991
12/16/2021 16:00:00,36036.28,36189.83,35778.21,35897.64,482768771
12/17/2021 16:00:00,35800.11,35800.11,35284.26,35365.44,760825908
12/20/2021 16:00:00,35222.12,35222.12,34665.5,34932.16,388890517
12/21/2021 16:00:00,35069.5,35508.96,35069.5,35492.7,349666606
12/22/2021 16:00:00,35491.71,35764.67,35433.13,35753.89,290725286
12/23/2021 16:00:00,35782.42,36060.99,35782.42,35950.56,250941712
12/27/2021 16:00:00,35954.48,36306.61,35954.48,36302.38,250260983
12/28/2021 16:00:00,36302.99,36527.26,36302.99,36398.21,239087792
12/29/2021 16:00:00,36421.14,36571.55,36396.19,36488.63,214403952
12/30/2021 16:00:00,36522.48,36679.44,36372.13,36398.08,207644664
12/31/2021 16:00:00,36385.85,36484.94,36303.97,36338.3,218213126
1/3/2022 16:00:00,36321.59,36595.82,36246.45,36585.06,347927078
1/4/2022 16:00:00,36636,36934.84,36636,36799.65,435084267
1/5/2022 16:00:00,36722.6,36952.65,36400.39,36407.11,468455424
1/6/2022 16:00:00,36409.05,36464.19,36200.68,36236.47,390187536
1/7/2022 16:00:00,36249.59,36382.84,36111.53,36231.66,361423366
1/10/2022 16:00:00,36175.21,36175.21,35639.91,36068.87,440304751
1/11/2022 16:00:00,36058.85,36271.47,35769.38,36252.02,363192772
1/12/2022 16:00:00,36336.16,36453.49,36168.15,36290.32,317858592
1/13/2022 16:00:00,36312.49,36513.88,36044.22,36113.62,349737971
1/14/2022 16:00:00,35996.43,35996.43,35641.49,35911.81,396471653
1/18/2022 16:00:00,35661.76,35661.76,35262.02,35368.47,427260003
1/19/2022 16:00:00,35412.3,35547.83,35015.49,35028.65,393081763
1/20/2022 16:00:00,35102.66,35490.2,34670.12,34715.39,369073444
1/21/2022 16:00:00,34701.69,34896.67,34229.55,34265.37,523884776
1/24/2022 16:00:00,34070.61,34420.99,33150.33,34364.5,678120775
1/25/2022 16:00:00,34186.64,34591.04,33545.52,34297.73,522186104
1/26/2022 16:00:00,34520.82,34815.67,33876.48,34168.09,549307869
1/27/2022 16:00:00,34261.75,34773.32,34007.78,34160.78,527779826
1/28/2022 16:00:00,34135.24,34731.77,33807.51,34725.47,568439067
1/31/2022 16:00:00,34691.17,35148.14,34496.1,35131.86,474442561
2/1/2022 16:00:00,35151.47,35441.09,34977.95,35405.24,394897697
2/2/2022 16:00:00,35378.19,35679.2,35290.12,35629.33,364057665
2/3/2022 16:00:00,35520.08,35535.94,35071.06,35111.16,390175594
2/4/2022 16:00:00,35095.74,35333.55,34799.08,35089.74,349880614
2/7/2022 16:00:00,35108.38,35325.01,34993.98,35091.13,328911328
2/8/2022 16:00:00,35160.68,35544.89,35090.42,35462.78,333936178
2/9/2022 16:00:00,35614.9,35824.28,35614.9,35768.06,339611544
2/10/2022 16:00:00,35630.81,35800.24,35100.72,35241.59,416709626
2/11/2022 16:00:00,35267.89,35431.15,34620.52,34738.06,410404481
2/14/2022 16:00:00,34694.5,34744.56,34304.28,34566.17,373410424
2/15/2022 16:00:00,34686.19,35047.79,34686.19,34988.84,305666649
2/16/2022 16:00:00,34951.83,35042.09,34642.64,34934.27,309361494
2/17/2022 16:00:00,34858.47,34858.47,34246.23,34312.03,351847744
2/18/2022 16:00:00,34310.45,34423.58,33976.18,34079.18,414076498
2/22/2022 16:00:00,33974.09,34024.74,33364.29,33596.61,438315872
2/23/2022 16:00:00,33680.97,33832.59,33084.9,33131.76,376494280
2/24/2022 16:00:00,32830.33,33269.34,32272.64,33223.83,593186413
2/25/2022 16:00:00,33277.22,34095.74,33277.22,34058.75,421167839
2/28/2022 16:00:00,33870.62,33963.63,33469.31,33892.6,451814443
