Date,Price,Open,High,Low,Change %
03/24/2016,67.48,66.14,67.79,65.45,2.09%
03/23/2016,66.1,70.03,70.03,66.07,-7.32%
03/22/2016,71.32,72.09,72.62,70.78,-0.15%
03/21/2016,71.43,70.58,72.32,70.27,0.35%
03/18/2016,71.18,70.97,72.52,70.71,0.37%
03/17/2016,70.92,72.12,73.81,70.7,-0.66%
03/16/2016,71.39,66.13,71.51,65.15,6.95%
03/15/2016,66.75,65.85,66.84,64.47,0.57%
03/14/2016,66.37,68.72,69.16,66.17,-2.53%
3/11/2016,68.09,69.19,70.12,67.81,-1.72%
3/10/2016,69.28,67.29,69.81,67.02,4.02%
3/9/2016,66.6,64.55,67.17,63.36,1.09%
3/8/2016,65.88,69.33,70.03,65.46,-4.44%
3/7/2016,68.94,67.51,70.46,67.51,3.28%
3/4/2016,66.75,67.34,70.8,66.15,-0.21%
3/3/2016,66.89,64.15,67.34,64.04,4.48%
3/2/2016,64.02,61.86,64.3,61.46,3.91%
3/1/2016,61.61,64.36,64.62,61.16,-3.61%
02/29/2016,63.92,62.55,64.03,62.55,3.26%
02/26/2016,61.9,63.24,63.66,61.43,-2.57%
02/25/2016,63.53,62.53,63.71,62,1.02%
02/24/2016,62.89,63.1,65.06,62,0.80%
02/23/2016,62.39,61.97,63.19,61.71,1.50%
02/22/2016,61.47,59.74,62.08,59.37,1.55%
02/19/2016,60.53,61.21,62.27,60.38,-1.66%
02/18/2016,61.55,57.97,61.88,57.61,4.84%
02/17/2016,58.71,57.55,59.36,57.2,2.57%
02/16/2016,57.24,60.04,60.04,56.67,-5.61%
2/12/2016,60.64,58.01,60.76,57.42,3.20%
2/11/2016,58.76,56.21,60.13,56.21,6.06%
2/10/2016,55.4,53.9,55.46,51.85,1.95%
2/9/2016,54.34,57.1,57.63,54.08,-4.30%
2/8/2016,56.78,55.8,58.72,55.78,2.68%
2/5/2016,55.3,51.94,55.35,50.7,5.09%
2/4/2016,52.62,50.71,53.67,50.69,5.20%
2/3/2016,50.02,46.66,50.07,46.66,8.15%
2/2/2016,46.25,46.9,47.13,45.56,-2.34%
2/1/2016,47.36,46.46,47.67,46.46,3.05%
01/29/2016,45.96,44.54,46.04,44.52,2.80%
01/28/2016,44.71,45.15,45.68,43.94,-2.08%
01/27/2016,45.66,44.25,45.72,43.85,2.75%
01/26/2016,44.44,42.63,44.78,42.63,5.58%
01/25/2016,42.09,41.25,42.45,41.23,2.86%
01/22/2016,40.92,40.24,41.59,39.89,0.74%
01/21/2016,40.62,39.74,40.73,38.97,1.30%
01/20/2016,40.1,39.52,40.43,38.62,3.24%
01/19/2016,38.84,41.58,41.69,38.36,-6.23%
01/15/2016,41.42,42.22,42.59,41.15,-0.24%
01/14/2016,41.52,42.64,43.02,40.83,-3.55%
01/13/2016,43.05,42.73,43.72,42.19,0.47%
1/12/2016,42.85,44.06,44.1,41.84,-3.45%
1/11/2016,44.38,47.23,47.54,43.94,-5.77%
1/8/2016,47.1,47.53,47.74,46.35,-2.81%
1/7/2016,48.46,47.31,48.98,46.92,3.52%
1/6/2016,46.81,46.67,47.42,46.66,1.36%
1/5/2016,46.18,46.6,46.73,45.78,-0.47%
1/4/2016,46.4,45.78,47.11,45.54,2.43%
12/31/2015,45.3,45.09,45.49,44.82,0.22%
12/30/2015,45.2,45.56,45.57,44.91,-2.06%
12/29/2015,46.15,46.43,46.7,45.6,0.81%
12/28/2015,45.78,47.23,47.23,45.6,-4.25%
12/24/2015,47.81,47.01,48,47.01,2.35%
12/23/2015,46.71,45.65,46.76,45.65,2.98%
